filename,category,year,month,day,original source,page number,author first name,author last name,database,troop 53,troop 253,pack 253,crew 153,archive.org url,title,tags
knickerbocker_press_1927_mar_27_scout_news.pdf,newspapers,1927,3,27,The Knickerbocker Press,10,,,fultonhistory.com,X,,,,https://archive.org/details/knickerbocker_press_1927_mar_27_scout_news,Boy Scout News,"troop 1,paul hanreeder,fort orange council"
albany_evening_news_1927_may_17_movie.pdf,newspapers,1927,5,17,Albany Evening News,1,,,fultonhistory.com,X,,,,https://archive.org/details/albany_evening_news_1927_may_17_movie,Castleton Scouts To Present Movie,whispering wires
albany_evening_news_1927_oct_22_troop_1_resumes.pdf,newspapers,1927,10,22,Albany Evening News,1,,,fultonhistory.com,X,,,,https://archive.org/details/albany_evening_news_1927_oct_22_troop_1_resumes,Castleton Troop Resumes Session,"troop 1,paul hanreeder,william mifflin,william kirsch,beaver patrol,eagle patrol,buffalo patrol,walter gietz,clayton price,harold gietz,james lawton,john moranor,joseph moranor,sidney sancom,john van der wal,louis van der wal,charles dufur,edward lawton,harold stammel,thurston paul jr,jay paul,warren heeder,thurston paul,frank lavin,henry metsger,clarence morgan"
knickerbocker_press_1928_apr_25_CarlosMorganEagle.pdf,newspapers,1928,4,25,The Knickerbocker Press,9,,,fultonhistory.com,X,,,,https://archive.org/details/knickerbocker_press_1928_apr_25_CarlosMorganEagle,Made Eagle Scouts,"eagle scout,carlos morgan,troop 1"
albany_evening_news_1929_may_28_memorial_day_parade_line_up.pdf,newspapers,1929,5,28,Albany Evening News,1,,,fultonhistory.com,X,,,,https://archive.org/details/albany_evening_news_1929_may_28_memorial_day_parade_line_up,Parade Lineup Announced By Castleton Post,"vfw,post,memorial day,parade,paul hanreeder,william kirach"
times_union_1929_nov_22_court_of_honor.pdf,newspapers,1929,11,22,Times Union,8,,,fultonhistory.com,X,,,,https://archive.org/details/times_union_1929_nov_22_court_of_honor,Scout Awards In Rensselaer Court Listed,"fort orange council,rensselaer,norman smith,harold broden,louis hofmann"
times_union_1929_dec_3_court_of_honor.pdf,newspapers,1929,12,3,Times Union,1,,,fultonhistory.com,X,,,,https://archive.org/details/times_union_1929_dec_3_court_of_honor,Rensselaer Scouts Plan Honor Court,"court of honor,fort orange council,rensselaer,"
times_union_1930_dec_26_court_of_honor.pdf,newspapers,1930,12,26,Times Union,9,,,fultonhistory.com,X,,,,,Renss. Scouts Have Court,"fort orange council,arthur phibbs,joesph southwick,edwin freehan,herbert herrick jr,gerrit septer,leonard peter,raymond diefenbach,norman butts,fret muterer,raymond kirsch,norman smith,ralph mutierer,louis hoffman,jay paul,thurston paul jr,glen haber,syndney sancomb,charles dufur,axel barner"
times_union_1931_jun_12_signup.pdf,newspapers,1931,6,12,Times Union,12,,,fultonhistory.com,X,,,,https://archive.org/details/times_union_1931_jun_12_signup,Scouts Sign Up For Camp Tour,"fort orange council,camp hawley,raymond dieffenbach"
albany_evening_news_1936_jun_25_big_moose.pdf,newspapers,1936,6,25,Albany Evening News,16,,,fultonhistory.com,X,,,,https://archive.org/details/albany_evening_news_1936_jun_25_big_moose,Bake Appointed to Big Moose Staff,"big moose,thomas latham,donald paul"
